;grp_raw;grp;item_class;item_ord_cor;item_cor
1805;Copepods;Copepoda;Hexanauplia;Poecilostomatoida;Farrangula gracilis
1806;Copepods;Copepoda;Hexanauplia;Calanoida;Temora stylifera
1809;Copepods;Copepoda;Hexanauplia;Poecilostomatoida;Corycaeus subulatus
1811;Copepods;Copepoda;Hexanauplia;Harpacticoida;Miracia minor
1815;Copepods;Copepoda;Hexanauplia;Calanoida;Nannocalanus minor
1817;Copepods;Copepoda;Hexanauplia;Harpacticoida;Euterpina acutifrons
1830;Copepods;Copepoda;Hexanauplia;Calanoida;Calanopia americana
1846;Copepods;Copepoda;Hexanauplia;Calanoida;Eucalanus monachus
1853;Copepods;Copepoda;Hexanauplia;Poecilostomatoida;Corycaeus sp
1871;Copepods;Copepoda;Hexanauplia;Calanoida;Paracalanus sp
1875;Copepods;Copepoda;Hexanauplia;Poecilostomatoida;Corycaeus amazonicus
1887;Copepods;Copepoda;Hexanauplia;Calanoida;Acartia negligens
1895;Copepods;Copepoda;Hexanauplia;Calanoida;Paracalanus crassirostris
1898;Copepods;Copepoda;Hexanauplia;Calanoida;Calocalanus sp
1902;Copepods;Copepoda;Hexanauplia;Calanoida;Pontella sp
1907;Copepods;Copepoda;Hexanauplia;Harpacticoida;Metis holothuria
1914;Copepods;Copepoda;Hexanauplia;Calanoida;Rhincalanus cornutus
1928;Copepods;Copepoda;Hexanauplia;Siphonostomatoida;Siphonostomatoida
1953;Copepods;Copepoda;Hexanauplia;Calanoida;Eucalanus attenuatus
1965;Copepods;Copepoda;Hexanauplia;Cyclopoida;Oithona sp
1985;Copepods;Copepoda;Hexanauplia;Poecilostomatoida;Sapphrina sp
1990;Coralline_algae;Coralline algae;Florideophyceae;Corallinales;Coralline_algae
1997;Crab;Crab;Malacostraca;Decapoda;Emerita sp
1998;Crab;Crab;Malacostraca;Decapoda;Portunidae
1999;Crab;Crab;Malacostraca;Decapoda;Sesarma sp
2000;Crab;Crab;Malacostraca;Decapoda;Calappidae
2001;Crab;Crab;Malacostraca;Decapoda;Portunus sebae
